time,valence,arousal
0,5.0,5.0
50,5.0,5.0
100,5.0,5.0
150,5.0,5.0
200,5.0,5.0
250,5.0,5.0
300,5.0,5.0
350,5.0,5.0
400,5.0,5.0
450,5.0,5.0
500,5.0,5.0
550,5.0,5.0
600,5.0,5.0
650,5.0,5.0
700,5.0,5.0
750,5.0,5.0
800,5.0,5.0
850,5.0,5.0
900,5.0,5.0
950,5.0,5.0
1000,5.0,5.0
1050,5.0,5.0
1100,5.0,5.0
1150,5.0,5.0
1200,5.0,5.0
1250,5.0,5.0
1300,5.0,5.0
1350,5.0,5.0
1400,5.0,5.0
1450,5.0,5.0
1500,5.0,5.0
1550,5.0,5.0
1600,5.0,5.0
1650,5.0,5.0
1700,5.0,5.0
1750,5.0,5.0
1800,5.0,5.0
1850,5.0,5.0
1900,5.0,5.0
1950,5.0,5.0
2000,5.0,5.0
2050,5.0,5.0
2100,5.0,5.0
2150,5.0,5.0
2200,5.0,5.0
2250,5.0,5.0
2300,5.0,5.0
2350,5.0,5.0
2400,5.0,5.0
2450,5.0,5.0
2500,5.0,5.0
2550,5.0,5.0
2600,5.0,5.0
2650,5.0,5.0
2700,5.0,5.0
2750,5.0,5.0
2800,5.0,5.0
2850,5.0,5.0
2900,5.0,5.0
2950,5.0,5.0
3000,5.0,5.0
3050,5.0,5.0
3100,5.0,5.0
3150,5.0,5.0
3200,5.0,5.0
3250,5.0,5.0
3300,5.0,5.0
3350,5.0,5.0
3400,5.0,5.0
3450,5.0,5.0
3500,5.0,5.0
3550,5.0,5.0
3600,5.0,5.0
3650,5.0,5.0
3700,5.0,5.0
3750,5.0,5.0
3800,5.0,5.0
3850,5.0,5.0
3900,5.0,5.0
3950,5.0,5.0
4000,5.0,5.0
4050,5.0,5.0
4100,5.0,5.0
4150,5.0,5.0
4200,5.0,5.0
4250,5.0,5.0
4300,5.0,5.0
4350,5.0,5.0
4400,5.0,5.0
4450,5.0,5.0
4500,5.0,5.0
4550,5.0,5.0
4600,5.0,5.0
4650,5.0,5.0
4700,5.0,5.0
4750,5.0,5.0
4800,5.0,5.0
4850,5.0,5.0
4900,5.0,5.0
4950,5.0,5.0
5000,5.0,5.0
5050,5.0,5.0
5100,5.0,5.0
5150,5.0,5.0
5200,5.0,5.0
5250,5.0,5.0
5300,5.0,5.0
5350,5.0,5.0
5400,5.0,5.0
5450,5.0,5.0
5500,5.0,5.0
5550,5.0,5.0
5600,5.0,5.0
5650,5.0,5.0
5700,5.0,5.0
5750,5.0,5.0
5800,5.0,4.996
5850,5.0,4.971
5900,5.0,4.926
5950,5.0,4.906
6000,5.0,4.895
6050,5.0,4.895
6100,5.0,4.895
6150,5.0,4.895
6200,5.0,4.893
6250,5.0,4.885
6300,5.0,4.885
6350,5.0,4.885
6400,5.0,4.885
6450,5.0,4.885
6500,5.0,4.885
6550,5.0,4.885
6600,5.0,4.885
6650,5.0,4.885
6700,5.0,4.885
6750,5.0,4.885
6800,5.0,4.884
6850,5.0,4.873
6900,5.0,4.822
6950,5.0,4.728
7000,5.002,4.672
7050,5.002,4.636
7100,5.002,4.61
7150,5.002,4.579
7200,5.002,4.574
7250,5.002,4.568
7300,5.002,4.54
7350,5.002,4.517
7400,5.002,4.498
7450,5.002,4.483
7500,5.002,4.481
7550,5.002,4.473
7600,5.002,4.459
7650,5.002,4.416
7700,5.002,4.346
7750,5.002,4.283
7800,5.002,4.263
7850,5.002,4.263
7900,5.002,4.263
7950,5.002,4.263
8000,5.002,4.263
8050,5.002,4.263
8100,5.002,4.26
8150,5.002,4.249
8200,5.002,4.235
8250,5.002,4.219
8300,5.002,4.219
8350,5.002,4.215
8400,5.002,4.196
8450,5.002,4.175
8500,5.002,4.149
