time,valence,arousal
0,5.0,5.106
50,5.0,5.097
100,5.0,5.093
150,5.0,5.091
200,5.0,5.078
250,5.0,5.078
300,5.0,5.057
350,5.0,5.056
400,5.0,5.05
450,5.0,5.033
500,5.0,5.028
550,5.0,5.02
600,5.0,5.004
650,5.0,5.0
700,5.0,5.0
750,5.0,5.0
800,5.0,5.0
850,5.0,5.0
900,5.0,5.0
950,5.0,5.0
1000,5.0,5.0
1050,5.0,5.0
1100,5.0,5.0
1150,5.0,5.0
1200,5.0,5.0
1250,5.0,5.0
1300,5.0,5.0
1350,5.0,5.0
1400,5.0,5.0
1450,5.0,5.0
1500,5.0,5.0
1550,5.0,5.0
1600,5.0,5.0
1650,5.0,5.0
1700,5.0,5.0
1750,5.0,5.0
1800,5.0,5.0
1850,5.0,5.0
1900,5.0,5.0
1950,5.0,5.0
2000,5.0,5.0
2050,5.0,5.0
2100,5.0,5.0
2150,5.0,5.0
2200,5.0,5.0
2250,5.0,5.0
2300,5.0,5.0
2350,5.0,5.0
2400,5.0,5.0
2450,5.0,5.0
2500,5.0,5.0
2550,5.0,5.0
2600,5.0,5.0
2650,5.0,5.0
2700,5.0,5.0
2750,5.0,5.0
2800,5.0,5.0
2850,5.0,5.0
2900,5.0,5.0
2950,5.0,5.0
3000,5.0,5.0
3050,5.0,5.0
3100,5.0,5.0
3150,5.0,5.0
3200,5.0,5.0
3250,5.0,5.0
3300,5.0,5.0
3350,5.0,5.0
3400,5.0,5.0
3450,5.0,5.0
3500,5.0,5.0
3550,5.0,5.0
3600,5.0,5.0
3650,5.0,5.0
3700,5.0,5.0
3750,5.0,5.0
3800,5.0,5.0
3850,5.0,5.0
3900,5.0,5.0
3950,5.0,5.0
4000,5.0,5.0
4050,5.0,5.0
4100,5.0,5.0
4150,5.0,5.0
4200,5.0,5.0
4250,5.0,5.0
4300,5.0,5.0
4350,5.0,5.0
4400,5.0,5.0
4450,5.0,5.0
4500,5.0,5.0
4550,5.0,5.0
4600,5.0,5.0
4650,5.0,5.0
4700,5.0,5.0
4750,5.0,5.0
4800,5.0,5.0
4850,5.0,5.0
4900,5.0,5.0
4950,5.0,5.0
5000,5.0,5.0
5050,5.0,5.0
5100,5.0,5.0
5150,5.0,5.0
5200,5.0,5.0
5250,5.0,5.0
5300,5.0,5.0
5350,5.0,5.0
5400,5.0,5.0
5450,5.0,5.0
5500,5.0,5.0
5550,5.0,5.0
5600,5.0,5.0
5650,5.0,5.0
5700,5.0,5.0
5750,5.0,5.0
5800,5.0,5.0
5850,5.0,5.0
5900,5.0,5.0
5950,5.0,5.0
6000,5.0,5.0
6050,5.0,5.0
6100,5.0,5.0
6150,5.0,5.0
6200,5.0,5.0
6250,5.0,5.0
6300,5.0,5.0
6350,5.0,5.0
6400,5.0,5.0
6450,5.0,5.0
6500,5.0,5.0
6550,5.0,5.0
6600,5.0,5.0
6650,5.0,5.0
6700,5.0,5.0
6750,5.0,5.0
6800,5.0,5.0
6850,5.0,5.0
6900,5.0,5.0
6950,5.0,5.0
7000,5.0,5.0
7050,5.0,5.0
7100,5.0,5.0
7150,5.0,5.0
7200,5.0,5.0
7250,5.0,5.0
7300,5.0,5.0
7350,5.0,5.0
7400,5.0,5.0
7450,5.0,5.0
7500,5.0,5.0
7550,5.0,5.0
7600,5.0,5.0
7650,5.0,5.0
7700,5.0,5.0
7750,5.0,5.0
7800,5.0,5.0
7850,5.0,5.0
7900,5.0,5.0
7950,5.0,5.0
8000,5.0,5.0
8050,5.0,5.0
8100,5.0,5.0
8150,5.0,5.0
8200,5.0,5.0
8250,5.0,5.0
8300,5.0,5.0
8350,5.0,5.0
8400,5.0,5.0
8450,5.0,5.0
8500,5.0,5.0
8550,5.0,5.0
8600,5.0,5.0
8650,5.0,5.0
8700,5.0,5.0
8750,5.0,5.0
